filename,category,duration (milliseconds)
1-100032-A-0_dog.wav,dog,2737
1-100038-A-14_chirping-birds.wav,chirping-birds,5000
1-100210-A-36_vacuum-cleaner.wav,vacuum-cleaner,4999
1-100210-B-36_vacuum-cleaner.wav,vacuum-cleaner,5000
1-101296-A-19_thunderstorm.wav,thunderstorm,4797
1-101296-B-19_thunderstorm.wav,thunderstorm,3988
1-101336-A-30_door-wood-knock.wav,door-wood-knock,4916
1-101404-A-34_can-opening.wav,can-opening,4911
1-103298-A-9_crow.wav,crow,5000
1-103995-A-30_door-wood-knock.wav,door-wood-knock,4977
1-103999-A-30_door-wood-knock.wav,door-wood-knock,4976
1-104089-A-22_clapping.wav,clapping,4949
1-104089-B-22_clapping.wav,clapping,5000
1-105224-A-22_clapping.wav,clapping,5000
1-110389-A-0_dog.wav,dog,4983
1-110537-A-22_clapping.wav,clapping,5000
1-115521-A-19_thunderstorm.wav,thunderstorm,5000
1-115545-A-48_fireworks.wav,fireworks,5000
1-115545-B-48_fireworks.wav,fireworks,4758
1-115545-C-48_fireworks.wav,fireworks,4488
1-115546-A-48_fireworks.wav,fireworks,4354
1-115920-A-22_clapping.wav,clapping,4832
1-115920-B-22_clapping.wav,clapping,5000
1-115921-A-22_clapping.wav,clapping,4878
1-116765-A-41_chainsaw.wav,chainsaw,5000
1-11687-A-47_airplane.wav,airplane,5000
1-118206-A-31_mouse-click.wav,mouse-click,4534
1-118559-A-17_pouring-water.wav,pouring-water,3222
1-119125-A-45_train.wav,train,5000
1-121951-A-8_sheep.wav,sheep,4554
1-12653-A-15_water-drops.wav,water-drops,4975
1-12654-A-15_water-drops.wav,water-drops,4118
1-12654-B-15_water-drops.wav,water-drops,4231
1-13571-A-46_church-bells.wav,church-bells,5000
1-13572-A-46_church-bells.wav,church-bells,5000
1-13613-A-37_clock-alarm.wav,clock-alarm,5000
1-137-A-32_keyboard-typing.wav,keyboard-typing,4936
1-137296-A-16_wind.wav,wind,5000
1-14262-A-37_clock-alarm.wav,clock-alarm,4996
1-155858-A-25_footsteps.wav,footsteps,4644
1-155858-B-25_footsteps.wav,footsteps,4997
1-155858-C-25_footsteps.wav,footsteps,4787
1-155858-D-25_footsteps.wav,footsteps,4867
1-155858-E-25_footsteps.wav,footsteps,4997
1-155858-F-25_footsteps.wav,footsteps,4612
1-15689-A-4_frog.wav,frog,4635
1-15689-B-4_frog.wav,frog,4674
1-160563-A-48_fireworks.wav,fireworks,4998
1-160563-B-48_fireworks.wav,fireworks,4556
1-16568-A-3_cow.wav,cow,5000
1-16746-A-15_water-drops.wav,water-drops,5000
1-17092-A-27_brushing-teeth.wav,brushing-teeth,4895
1-17092-B-27_brushing-teeth.wav,brushing-teeth,4990
1-17124-A-43_car-horn.wav,car-horn,5000
1-17150-A-12_crackling-fire.wav,crackling-fire,4932
1-172649-A-40_helicopter.wav,helicopter,5000
1-172649-B-40_helicopter.wav,helicopter,5000
1-172649-C-40_helicopter.wav,helicopter,5000
1-172649-D-40_helicopter.wav,helicopter,5000
1-172649-E-40_helicopter.wav,helicopter,5000
1-172649-F-40_helicopter.wav,helicopter,5000
1-17295-A-29_drinking-sipping.wav,drinking-sipping,4914
1-17367-A-10_rain.wav,rain,5000
1-17565-A-12_crackling-fire.wav,crackling-fire,4975
1-17585-A-7_insects.wav,insects,5000
1-17742-A-12_crackling-fire.wav,crackling-fire,4825
1-17808-A-12_crackling-fire.wav,crackling-fire,5000
1-17808-B-12_crackling-fire.wav,crackling-fire,5000
1-1791-A-26_laughing.wav,laughing,4998
1-17970-A-4_frog.wav,frog,5000
1-18074-A-6_hen.wav,hen,4799
1-18074-B-6_hen.wav,hen,4217
1-181071-A-40_helicopter.wav,helicopter,5000
1-181071-B-40_helicopter.wav,helicopter,5000
1-18527-A-44_engine.wav,engine,4999
1-18527-B-44_engine.wav,engine,5000
1-18631-A-23_breathing.wav,breathing,5000
1-18655-A-31_mouse-click.wav,mouse-click,4871
1-187207-A-20_crying-baby.wav,crying-baby,4697
1-18755-A-4_frog.wav,frog,5000
1-18755-B-4_frog.wav,frog,5000
1-18757-A-4_frog.wav,frog,5000
1-18810-A-49_hand-saw.wav,hand-saw,4895
1-19026-A-43_car-horn.wav,car-horn,4969
1-19111-A-24_coughing.wav,coughing,4991
1-19118-A-24_coughing.wav,coughing,4902
1-19501-A-7_insects.wav,insects,5000
1-196660-A-8_sheep.wav,sheep,4999
1-196660-B-8_sheep.wav,sheep,5000
1-19840-A-36_vacuum-cleaner.wav,vacuum-cleaner,5000
